1;02-0887;TI;CENTRAL TELEFONICA ;12311.0106 - APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;BOM;N.F.179;24/08/2007;2750.00;10;10;275.00;2475.00;20.63;2309.99;440.01;
2;8000571;SVG;FAX PAP. TERMICO KX-FT902BRG PANASONIC;12311.0106 - APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;INSERVIVEL;N.F. 8300;24/05/2007;560.00;10;10;56.00;504.00;4.20;483.00;77.00;
3;02-0255;SUCOF;CONDICIONADOR DE AR 12000 BTUS CONSUL;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 75026;18/12/2003;1269.00;10;10;126.90;1142.10;0.00;1142.10;126.90;
4;01-0111;SUCOR;REFRIGERADOR CONSUL FRIGOBAR CRT 12;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 3610;11/09/2000;404.00;10;10;40.40;363.60;0.00;363.60;40.40;
5;02-0757;SUPAD;REFRIGERADOR CONSUL FRIGOBAR CRT 12;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 3610;11/09/2000;404.00;10;10;40.40;363.60;0.00;363.60;40.40;
6;02-0228;ADM;REFRIGERADOR CONSUL FRIGOBAR CRT 12;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;REGULAR;NF. 5726;04/04/2003;619.00;10;10;61.90;557.10;0.00;557.10;61.90;
7;8000213;GAB;DVD SEMP TOCHIBA ;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;INSERVIVEL;N.F. 38428;28/09/2004;479.00;10;10;47.90;431.10;0.00;431.10;47.90;
8;8000212;GAB;DVD SEMP TOCHIBA ;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;INSERVIVEL;N.F. 38428;28/09/2004;424.00;10;10;42.40;381.60;0.00;381.60;42.40;
9;02-0016;GAB;TELEVISOR LG 29 POL SLIM CINEMASTER COM CONTROLE REMOTO COR PRATA;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 38428;28/09/2004;1187.00;10;10;118.70;1068.30;0.00;1068.30;118.70;
10;02-0814;GAB;CONDICIONADOR DE AR  12.000 1.2V CONSUL;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 38427;28/07/2004;1161.00;10;10;116.10;1044.90;0.00;1044.90;116.10;
11;8000708;GAB;CONDICIONADOR DE AR  10000 1.2V;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;INSERVIVEL;N.F. 41069;21/02/2005;1399.00;10;10;139.90;1259.10;0.00;1259.10;139.90;
12;8000709;ADM;CONDICIONADOR DE AR  10000 1.2V;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;INSERVIVEL;N.F. 41069;21/02/2005;1399.00;10;10;139.90;1259.10;0.00;1259.10;139.90;
13;02-0282;SUCOF;REFRIGERADOR CONSUL FRIGOBAR 120L CRC 12A;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F 41462;14/04/2005;679.00;10;10;67.90;611.10;0.00;611.10;67.90;
14;01-0583;SUCOF;CONDICIONADOR DE AR SPLIT SPRINGER 18.000;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F 32335;14/06/2007;1767.00;10;10;176.70;1590.30;13.25;1510.78;256.22;
15;02-0688;SUPAD;REFRIGERADOR CONSUL FRIGOBAR CRC12A BRANCO;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 11134;13/12/2007;699.00;10;10;69.90;629.10;5.24;566.19;132.81;
16;02-0267;GAB;REFRIGERADOR CONSUL FRIGOBAR CRC12A BRANCO;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 10442;13/09/2007;699.00;10;10;69.90;629.10;5.24;581.92;117.08;
17;02-0781;SUP-SUCOR;REFRIGERADOR CONSUL FRIGOBAR CRC08A BRANCO;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 14756;27/11/2008;655.00;10;10;65.50;589.50;4.91;476.51;178.49;
18;02-0768;SVG;FORNO MICRONDAS;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 50387;27/11/2008;239.00;10;10;23.90;215.10;1.79;173.87;65.13;
19;02-0852;SVG;GELADEIRA CONSUL;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 10661;13/04/2009;765.00;10;10;76.50;688.50;5.74;527.85;237.15;
20;01-0575;SVG;FOGÃO CONSUL CF 150 4 BOCAS;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;N.F. 10661;13/04/2009;357.00;10;10;35.70;321.30;2.68;246.33;110.67;
21;02-0355;SUP-SUPAD;FRIGOBAR WHITEWESTINGHOUSE EXECUTIVE 1.5 SUPER LUXO;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;;31/12/2013;60.00;10;10;6.00;54.00;0.45;16.20;43.80;
22;8000021;SUPAD;VIDEO CASSETE SHARP HQ AUTO TRACKING MOD. VC 1294B ;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;INSERVIVEL;;31/12/2013;30.00;10;10;3.00;27.00;0.23;8.10;21.90;
23;02-0381;SUPAD;TELEVISOR MARCA SANYO  MOD. CTP 3771 COM  CONTROLE REMOTO ;12311.03.12 - APARELHOS E UTENSILIOS DOMESTICOS;BOM;;31/122013;30.00;10;10;3.00;27.00;0.23;8.10;21.90;
24;;SUPAD;DICIONARIO AURELIO;12311.04.18 - COLEÇÕES E MATERIAIS BIBLIOGRAFICOS;;N.F. 2226;07/07/1997;95.00;;;;;;;95.00;
25;NRP 307;SUP-SUPAD;NOVA GRAMATICA DE PORTUGUES;12311.04.18 - COLEÇÕES E MATERIAIS BIBLIOGRAFICOS;;N.F. 2226;07/07/1997;32.00;;;;;;;32.00;
26;NRP 354;SUP-SUPAD;LEI 4.320/64 COMENTADA;12311.04.18 - COLEÇÕES E MATERIAIS BIBLIOGRAFICOS;;N.F. 397;09/06/2000;40.00;;;;;;;40.00;
27;NRP 350;SUP-SUPAD;CONSOLIDAÇÃO DA LEG. PREVIDENCIARIA;12311.04.18 - COLEÇÕES E MATERIAIS BIBLIOGRAFICOS;;N.F. 397;09/06/2000;95.00;;;;;;;95.00;
28;02-0668;SUPAD;ESTABILIZADOR SMS 500VA;12311.01.30 - MAQUINAS E EQUIPAMENTOS ENERGETICOS;BOM;N.F. 1016;07/08/2006;100.00;5;20;10.00;90.00;0.00;90.00;10.00;
29;02-0666;GAB;ESTABILIZADOR SMS 500VA;12311.01.30 - MAQUINAS E EQUIPAMENTOS ENERGETICOS;BOM;N.F. 1016;07/08/2006;100.00;5;20;10.00;90.00;0.00;90.00;10.00;
