SQ_PESSOA_VINCULANTE,SQ_PESSOA_VINCULADA,CO_CONDICAO,NO_VINCULO,DT_ENTRADA_SOCIEDADE,DT_INICIO_MANDATO,DT_SAIDA_SOCIEDADE,DT_TERMINO_MANDATO,VL_PARTICIPACAO,DS_CARGO_DIRECAO
564327,98629,801,EMPRESÁRIO,2015-01-02,2015-02-23,,,110000,
561828,561829,101,SOCIO,2015-01-30,,,,,
561828,561830,101,SOCIO,2015-01-30,2015-01-30,,,,
561828,561830,205,ADMINISTRADOR,2015-01-30,2015-01-02,,,,
561868,561869,101,SOCIO,2015-01-30,,,,,
561868,561870,101,SOCIO,2015-01-30,2015-01-30,,,,
561868,561870,205,ADMINISTRADOR,2015-01-30,2015-01-02,,,,
560953,560954,101,SOCIO,2015-01-23,,,,,
560953,560955,101,SOCIO,2015-01-23,2015-01-23,,,,
560953,560955,205,ADMINISTRADOR,2015-01-23,2014-12-22,,,,
509250,509251,801,EMPRESÁRIO,2013-10-02,,2015-02-13,2015-02-13,,
509250,563802,101,SOCIO,2015-02-13,2015-02-13,,,,
509250,563802,205,ADMINISTRADOR,2015-02-13,2015-01-05,,,,
509250,509251,101,SOCIO,2015-02-13,2015-02-13,,,,
562121,168971,205,ADMINISTRADOR,2015-02-02,2015-01-05,,,,ADMINISTRADOR
562121,350403,205,ADMINISTRADOR,2015-02-02,2015-01-05,,,,ADMINISTRADOR
565110,565111,101,SOCIO,2015-02-25,2015-02-25,,,,
565110,152875,101,SOCIO,2015-02-25,2015-02-25,,,,
565110,152875,205,ADMINISTRADOR,2015-02-25,2015-01-19,,,,
558350,558351,801,EMPRESÁRIO,2015-01-08,,,,,
558314,558315,801,EMPRESÁRIO,2015-01-08,,,,,
558316,558317,801,EMPRESÁRIO,2015-01-08,,,,,
558318,558319,801,EMPRESÁRIO,2015-01-08,,,,,
558320,558321,801,EMPRESÁRIO,2015-01-08,,,,,
558322,558323,801,EMPRESÁRIO,2015-01-08,,,,,
558324,558325,801,EMPRESÁRIO,2015-01-08,,,,,
558326,558327,801,EMPRESÁRIO,2015-01-08,,,,,
558328,558329,801,EMPRESÁRIO,2015-01-08,,,,,
558330,558331,801,EMPRESÁRIO,2015-01-08,,,,,
558332,558333,801,EMPRESÁRIO,2015-01-08,,,,,
558334,558335,801,EMPRESÁRIO,2015-01-08,,,,,
558336,558337,801,EMPRESÁRIO,2015-01-08,,,,,
558338,558339,801,EMPRESÁRIO,2015-01-08,,,,,
558340,558341,801,EMPRESÁRIO,2015-01-08,,,,,
558342,558343,801,EMPRESÁRIO,2015-01-08,,,,,
558344,558345,801,EMPRESÁRIO,2015-01-08,,,,,
558346,558347,801,EMPRESÁRIO,2015-01-08,,,,,
558348,558349,801,EMPRESÁRIO,2015-01-08,,,,,
558412,558413,801,EMPRESÁRIO,2015-01-08,,,,,
560220,489121,801,EMPRESÁRIO,2015-01-19,2015-01-19,,2015-01-19,0,
557210,557211,801,EMPRESÁRIO,2014-12-19,,,,0,
559218,559219,801,EMPRESÁRIO,2015-01-09,,,,,
559220,559221,801,EMPRESÁRIO,2015-01-09,,,,,
559222,559223,801,EMPRESÁRIO,2015-01-09,,,,,
559224,559225,801,EMPRESÁRIO,2015-01-09,,,,,
559226,559227,801,EMPRESÁRIO,2015-01-09,,,,,
559228,559229,801,EMPRESÁRIO,2015-01-09,,,,,
559230,559231,801,EMPRESÁRIO,2015-01-09,,,,,
559232,559233,801,EMPRESÁRIO,2015-01-09,,,,,
558352,558353,801,EMPRESÁRIO,2015-01-08,,,,,
558354,558355,801,EMPRESÁRIO,2015-01-08,,,,,
558356,558357,801,EMPRESÁRIO,2015-01-08,,,,,
558358,558359,801,EMPRESÁRIO,2015-01-05,,,,,
558360,558361,801,EMPRESÁRIO,2015-01-08,,,,,
558362,558363,801,EMPRESÁRIO,2015-01-08,,,,,
558364,558365,801,EMPRESÁRIO,2015-01-08,,,,,
558366,558367,801,EMPRESÁRIO,2015-01-08,,,,,
558368,558369,801,EMPRESÁRIO,2015-01-08,,,,,
558370,558371,801,EMPRESÁRIO,2015-01-08,,,,,
558372,558373,801,EMPRESÁRIO,2015-01-08,,,,,
558374,558375,801,EMPRESÁRIO,2015-01-08,,,,,
558376,558377,801,EMPRESÁRIO,2015-01-08,,,,,
558378,558379,801,EMPRESÁRIO,2015-01-08,,,,,
558380,558381,801,EMPRESÁRIO,2015-01-08,,,,,
558382,558383,801,EMPRESÁRIO,2015-01-08,,,,,
558304,558305,801,EMPRESÁRIO,2015-01-08,,,,,
558306,558307,801,EMPRESÁRIO,2015-01-08,,,,,
558308,558309,801,EMPRESÁRIO,2015-01-08,,,,,
558310,558311,801,EMPRESÁRIO,2015-01-08,,,,,
558312,558313,801,EMPRESÁRIO,2015-01-08,,,,,
559397,559398,801,EMPRESÁRIO,2015-01-10,2015-01-10,,2015-01-10,0,
559745,153262,401,TITULAR PESSOA FÍSICA,2015-01-14,2015-01-05,,2015-01-14,,ADMINISTRADOR
559745,153262,205,ADMINISTRADOR,2015-01-14,2015-01-05,,2015-01-14,,ADMINISTRADOR
558408,558409,801,EMPRESÁRIO,2015-01-08,,,,,
558410,622739,801,EMPRESÁRIO,2015-01-08,,,,,
558384,558385,801,EMPRESÁRIO,2015-01-08,,,,,
558386,558387,801,EMPRESÁRIO,2015-01-08,,,,,
558388,558389,801,EMPRESÁRIO,2015-01-08,,,,,
558390,558391,801,EMPRESÁRIO,2015-01-08,,,,,
558392,558393,801,EMPRESÁRIO,2015-01-08,,,,,
558394,558395,801,EMPRESÁRIO,2015-01-08,,,,,
558396,558397,801,EMPRESÁRIO,2015-01-08,,,,,
558398,558399,801,EMPRESÁRIO,2015-01-08,,,,,
558400,558401,801,EMPRESÁRIO,2016-03-17,2016-03-17,,,0,
558402,558403,801,EMPRESÁRIO,2015-01-08,,,,,
558404,558405,801,EMPRESÁRIO,2015-01-08,,,,,
558406,558407,801,EMPRESÁRIO,2015-01-08,,,,,
562013,562014,101,SOCIO,2015-01-31,2015-01-31,,,,
562013,562014,205,ADMINISTRADOR,2015-01-31,2014-12-22,,,,
562013,562015,205,ADMINISTRADOR,2015-01-31,2014-12-22,,,,
562013,562015,101,SOCIO,2015-01-31,2015-01-31,,,,
562241,92274,801,EMPRESÁRIO,2015-02-02,,,,20000,
561881,387940,101,SOCIO,2015-01-30,,,,,
561881,339809,101,SOCIO,2015-01-30,2015-01-30,,,,
561881,339809,205,ADMINISTRADOR,2015-01-30,2015-01-05,,,,
579899,579900,801,EMPRESÁRIO,2015-06-23,,,,,
579901,579902,801,EMPRESÁRIO,2015-06-23,,,,,
579903,579904,801,EMPRESÁRIO,2015-01-05,,,,,
579905,579906,801,EMPRESÁRIO,2015-06-23,,,,,
558840,558841,801,EMPRESÁRIO,2015-01-09,,,,,
558842,558843,801,EMPRESÁRIO,2015-01-09,,,,,
558844,558845,801,EMPRESÁRIO,2015-01-09,,,,,
558846,558847,801,EMPRESÁRIO,2015-01-09,,,,,
558848,558849,801,EMPRESÁRIO,2015-01-09,,,,,
558850,558851,801,EMPRESÁRIO,2015-01-09,,,,,
558852,558853,801,EMPRESÁRIO,2015-01-09,,,,,
558854,558855,801,EMPRESÁRIO,2015-01-09,,,,,
558856,558857,801,EMPRESÁRIO,2015-01-09,,,,,
558858,558859,801,EMPRESÁRIO,2015-01-09,,,,,
558860,558861,801,EMPRESÁRIO,2015-01-09,,,,,
558862,558863,801,EMPRESÁRIO,2015-01-09,,,,,
558864,558865,801,EMPRESÁRIO,2015-01-09,,,,,
557945,557946,801,EMPRESÁRIO,2015-02-17,,,,0,
558866,558867,801,EMPRESÁRIO,2015-01-09,,,,,
558868,558869,801,EMPRESÁRIO,2015-01-09,,,,,
557239,557240,801,EMPRESÁRIO,2014-12-19,,,,0,
558906,558907,801,EMPRESÁRIO,2015-01-09,,,,,
558908,558909,801,EMPRESÁRIO,2015-01-09,,,,,
558910,558911,801,EMPRESÁRIO,2015-01-09,,,,,
558912,558913,801,EMPRESÁRIO,2015-01-09,,,,,
558914,558915,801,EMPRESÁRIO,2015-01-06,,,,,
558916,558917,801,EMPRESÁRIO,2015-01-09,,,,,
558918,558919,801,EMPRESÁRIO,2015-01-09,,,,,
558920,558921,801,EMPRESÁRIO,2015-01-09,,,,,
558922,558923,801,EMPRESÁRIO,2015-01-09,,,,,
558924,558925,801,EMPRESÁRIO,2015-01-09,,,,,
558926,558927,801,EMPRESÁRIO,2015-01-09,,,,,
558928,558929,801,EMPRESÁRIO,2015-01-09,,,,,
558930,558931,801,EMPRESÁRIO,2015-01-09,,,,,
558932,558933,801,EMPRESÁRIO,2015-01-09,,,,,
558870,558871,801,EMPRESÁRIO,2015-01-09,,,,,
558872,558873,801,EMPRESÁRIO,2015-01-09,,,,,
558874,558875,801,EMPRESÁRIO,2015-01-09,,,,,
558876,558877,801,EMPRESÁRIO,2015-01-09,,,,,
558878,558879,801,EMPRESÁRIO,2015-01-09,,,,,
558880,558881,801,EMPRESÁRIO,2015-01-09,,,,,
558882,558883,801,EMPRESÁRIO,2015-01-09,,,,,
558884,558885,801,EMPRESÁRIO,2015-01-09,,,,,
558886,558887,801,EMPRESÁRIO,2015-01-09,,,,,
558888,558889,801,EMPRESÁRIO,2015-01-09,,,,,
558890,558891,801,EMPRESÁRIO,2015-01-09,,,,,
558892,558893,801,EMPRESÁRIO,2015-01-09,,,,,
558894,558895,801,EMPRESÁRIO,2015-01-09,,,,,
558896,558897,801,EMPRESÁRIO,2015-01-09,,,,,
558898,558899,801,EMPRESÁRIO,2015-01-09,,,,,
558900,558901,801,EMPRESÁRIO,2015-01-09,,,,,
558902,558903,801,EMPRESÁRIO,2015-01-09,,,,,
558904,558905,801,EMPRESÁRIO,2015-01-09,,,,,
558414,558415,801,EMPRESÁRIO,2015-01-08,,,,,
558416,558417,801,EMPRESÁRIO,2015-01-08,,,,,
558418,558419,801,EMPRESÁRIO,2015-01-08,,,,,
558420,558421,801,EMPRESÁRIO,2015-01-08,,,,,
558422,558423,801,EMPRESÁRIO,2015-01-08,,,,,
558424,558425,801,EMPRESÁRIO,2015-01-08,,,,,
558426,558427,801,EMPRESÁRIO,2015-01-08,,,,,
558428,558429,801,EMPRESÁRIO,2015-01-08,,,,,
